sentence,emotion
It's strange how much sadness this made me feel.,sadness
I suddenly felt a strong sense of disgust.,disgust
Something happened and now I'm overwhelmed with fear.,fear
This situation fills me with realization.,realization
"I can't explain it, but there's a lot of fear inside me.",fear
I suddenly felt a strong sense of surprise.,surprise
"I can't explain it, but there's a lot of annoyance inside me.",annoyance
This situation fills me with admiration.,admiration
I suddenly felt a strong sense of remorse.,remorse
This situation fills me with remorse.,remorse
My heart is full of relief at the moment.,relief
This situation fills me with excitement.,excitement
I didn't expect to experience relief today.,relief
I suddenly felt a strong sense of embarrassment.,embarrassment
This situation fills me with disgust.,disgust
"I can't explain it, but there's a lot of pride inside me.",pride
I suddenly felt a strong sense of love.,love
"Honestly, my reaction right now is pure optimism.",optimism
It's strange how much amusement this made me feel.,amusement
My heart is full of nervousness at the moment.,nervousness
I suddenly felt a strong sense of sadness.,sadness
This situation fills me with love.,love
Something happened and now I'm overwhelmed with grief.,grief
This situation fills me with optimism.,optimism
I didn't expect to experience admiration today.,admiration
Something happened and now I'm overwhelmed with surprise.,surprise
I didn't expect to experience confusion today.,confusion
It's strange how much remorse this made me feel.,remorse
"I can't explain it, but there's a lot of disapproval inside me.",disapproval
Something happened and now I'm overwhelmed with pride.,pride
It's strange how much love this made me feel.,love
Something happened and now I'm overwhelmed with anger.,anger
Something happened and now I'm overwhelmed with pride.,pride
I suddenly felt a strong sense of annoyance.,annoyance
Something happened and now I'm overwhelmed with pride.,pride
I suddenly felt a strong sense of fear.,fear
I didn't expect to experience remorse today.,remorse
My heart is full of remorse at the moment.,remorse
This situation fills me with annoyance.,annoyance
"Honestly, my reaction right now is pure amusement.",amusement
This situation fills me with curiosity.,curiosity
It's strange how much approval this made me feel.,approval
It's strange how much confusion this made me feel.,confusion
Something happened and now I'm overwhelmed with relief.,relief
This situation fills me with desire.,desire
I didn't expect to experience annoyance today.,annoyance
It's strange how much disgust this made me feel.,disgust
Something happened and now I'm overwhelmed with love.,love
"I can't explain it, but there's a lot of sadness inside me.",sadness
I didn't expect to experience remorse today.,remorse
"Honestly, my reaction right now is pure realization.",realization
It's strange how much approval this made me feel.,approval
I didn't expect to experience nervousness today.,nervousness
This situation fills me with pride.,pride
I didn't expect to experience amusement today.,amusement
I didn't expect to experience realization today.,realization
This situation fills me with relief.,relief
Something happened and now I'm overwhelmed with anger.,anger
This situation fills me with approval.,approval
It's strange how much caring this made me feel.,caring
My heart is full of disapproval at the moment.,disapproval
"I can't explain it, but there's a lot of pride inside me.",pride
I didn't expect to experience sadness today.,sadness
"I can't explain it, but there's a lot of fear inside me.",fear
My heart is full of disgust at the moment.,disgust
My heart is full of relief at the moment.,relief
This situation fills me with amusement.,amusement
"I can't explain it, but there's a lot of sadness inside me.",sadness
"Honestly, my reaction right now is pure admiration.",admiration
It's strange how much disappointment this made me feel.,disappointment
This situation fills me with joy.,joy
It's strange how much disappointment this made me feel.,disappointment
It's strange how much confusion this made me feel.,confusion
My heart is full of desire at the moment.,desire
This situation fills me with curiosity.,curiosity
I didn't expect to experience nervousness today.,nervousness
My heart is full of remorse at the moment.,remorse
Something happened and now I'm overwhelmed with fear.,fear
"Honestly, my reaction right now is pure fear.",fear
I suddenly felt a strong sense of anger.,anger
